# TestSim (Up to date)
# 293 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (28.8 m/s)
#   Discontinuity in rocket body diameter.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s�),Total velocity (m/s),Total acceleration (m/s�),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (�),Lateral velocity (m/s),Lateral acceleration (m/s�),Latitude (�),Longitude (�),Gravitational acceleration (m/s�),Angle of attack (�),Roll rate (�/s),Pitch rate (�/s),Yaw rate (�/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg�m�),Rotational moment of inertia (kg�m�),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s�),Reference length (cm),Reference area (cm�),Vertical orientation (zenith) (�),Lateral orientation (azimuth) (�),Wind velocity (m/s),Air temperature (�C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
3.6709,281.56,78.103,-33.221,78.217,33.254,12.21,7.4076e-4,12.21,0.0034761,4.2181,1.4799,28.61,-80.6,9.7913,0.28164,-3.6128e-6,-1.8268,-0.0014775,1577.2,381,0.15166,0.0089079,224.85,199.59,2.4867,0.23099,4924794,0,37.013,1.2463,1.2466,0.21272,0.9066,0.12694,0.030702,0.076963,4.4664e-4,0,0,0,0,-7.6239e-4,0.010019,10.16,81.073,84.999,0.0059111,NaN,13.17,980.23,339.28,0.00375,0.24792
3.6747,281.86,77.979,-33.145,78.092,33.178,12.226,7.431e-4,12.226,0.0034826,4.2126,1.472,28.61,-80.6,9.7913,0.28439,-3.6116e-6,-1.4963,-0.0010916,1577.2,381,0.15166,0.0089079,224.85,199.59,2.4865,0.23062,4916859,0,36.893,1.2462,1.2465,0.21272,0.90656,0.12691,0.031003,0.07729,4.3639e-4,0,0,0,0,-5.1313e-4,0.010003,10.16,81.073,84.993,0.0058565,NaN,13.168,980.19,339.28,0.005625,0.2484
3.6803,282.29,77.792,-33.032,77.906,33.064,12.249,7.4662e-4,12.249,0.0034923,4.2043,1.464,28.61,-80.6,9.7913,0.28618,-3.6154e-6,-1.0022,-5.1681e-4,1577.2,381,0.15166,0.0089079,224.85,199.59,2.4864,0.23007,4904991,0,36.714,1.2461,1.2464,0.21273,0.9065,0.12688,0.031197,0.077825,-1.1158e-4,0,0,0,0,-2.3128e-4,0.009979,10.16,81.073,84.986,0.0058077,NaN,13.165,980.14,339.28,0.0084375,0.24881
3.6887,282.95,77.514,-32.862,77.628,32.894,12.285,7.5192e-4,12.285,0.0035069,4.192,1.4607,28.61,-80.6,9.7913,0.28364,-3.6431e-6,-0.26591,-0.001406,1577.2,381,0.15166,0.0089079,224.85,199.59,2.4866,0.22925,4887266,0,36.446,1.246,1.2463,0.21273,0.9064,0.12683,0.030916,0.077338,-1.5289e-4,0,0,0,0,-1.6398e-5,0.0099433,10.16,81.073,84.981,0.0057526,NaN,13.161,980.06,339.27,0.012656,0.24921
3.7014,283.93,77.1,-32.608,77.213,32.641,12.338,7.5988e-4,12.338,0.0035289,4.1735,1.4684,28.61,-80.6,9.7913,0.27118,-3.5948e-6,0.80118,-0.002041,1577.2,381,0.15166,0.0089079,224.86,199.59,2.4875,0.22803,4860832,0,36.049,1.2458,1.2461,0.21275,0.90627,0.12676,0.029544,0.072964,-6.3392e-5,0,0,0,0,1.5047e-4,0.0098902,10.16,81.073,84.984,0.0054895,NaN,13.154,979.95,339.27,0.018984,0.24959
3.7204,285.39,76.485,-32.234,76.597,32.267,12.417,7.7186e-4,12.417,0.0035617,4.1458,1.4522,28.61,-80.6,9.7913,0.26139,-3.1659e-6,2.3037,-0.0054045,1577.2,381,0.15166,0.0089079,224.87,199.59,2.4882,0.22621,4821335,0,35.459,1.2455,1.2457,0.21276,0.90606,0.12665,0.028465,0.069947,-2.2819e-4,0,0,0,0,0.0012642,0.0098113,10.16,81.073,85.014,0.0048354,NaN,13.145,979.78,339.26,0.028477,0.24996
3.7489,287.55,75.575,-31.679,75.686,31.715,12.534,7.8984e-4,12.534,0.0036105,4.1039,1.5009,28.61,-80.6,9.7913,0.19898,-1.5915e-6,4.1782,-0.0015498,1577.2,381,0.15166,0.0089079,224.91,199.59,2.4929,0.22352,4762942,0,34.595,1.245,1.2452,0.21279,0.90576,0.12649,0.021621,0.049159,3.5548e-4,0,0,0,0,0.0042598,0.0096946,10.16,81.073,85.108,0.0041413,NaN,13.131,979.53,339.26,0.042715,0.25033
3.7916,290.75,74.239,-30.865,74.349,30.916,12.708,8.1668e-4,12.708,0.0036822,4.034,1.776,28.61,-80.6,9.7913,0.021226,-1.0278e-6,-5.0358,-0.045766,1577.2,381,0.15166,0.0089079,225.05,199.59,2.5062,0.21958,4677676,0,33.354,1.2444,1.2444,0.21283,0.90533,0.12627,0.0022932,0.011757,4.8169e-4,0,0,0,0,-0.0064123,0.0095233,10.16,81.073,85.314,0.0032514,NaN,13.11,979.15,339.24,0.05,0.25069
3.8416,294.42,72.718,-29.97,72.825,30.044,12.907,8.4787e-4,12.907,0.0037637,3.9364,2.1052,28.61,-80.6,9.7913,0.28883,-5.5294e-7,-2.6274,-0.0018895,1577.2,381,0.15166,0.0089079,224.85,199.59,2.4862,0.21511,4580954,0,31.986,1.2437,1.2441,0.21287,0.90485,0.12602,0.031449,0.080274,4.111e-4,0,0,0,0,-0.0018189,0.0093281,10.16,81.073,85.518,0.0017178,NaN,13.086,978.72,339.23,0.05,0.25102
3.8916,298.02,71.241,-29.14,71.344,29.21,13.101,8.7837e-4,13.101,0.0038413,3.8316,2.0204,28.61,-80.6,9.7913,0.29499,-4.0811e-6,1.5099,-0.011875,1577.2,381,0.15166,0.0089079,224.84,199.59,2.4857,0.21074,4486465,0,30.671,1.2431,1.2434,0.21291,0.90439,0.12577,0.032114,0.078982,3.4912e-4,0,0,0,0,6.2595e-4,0.0091384,10.16,81.073,85.545,0.0065167,NaN,13.063,978.3,339.21,0.05,0.25138
